time,pm10,pm2_5,nitrogen_dioxide,ozone,carbon_monoxide,AQI,hour,hour_sin,hour_cos,AQI_RF_Predict,AQI_LSTM_Predict
2026-09-02 15:00:00,-0.964099350775716,-1.005623426871776,-1.3569435757985262,1.8768666449273868,-1.395906418890169,78.0,15,-0.816969893010442,-0.5766803221148672,,
2026-09-02 16:00:00,-0.9813793391393758,-1.0205908453182395,-1.167161257505026,1.6178920192339192,-0.9879789200055332,77.0,16,-0.9422609221188204,-0.3348796121709864,,
2026-09-02 17:00:00,-0.822979445805828,-0.8439753076499685,-0.6146838420283923,1.18626764307814,0.153651510900774,89.0,17,-0.9976687691905392,-0.0682424133646704,,
2026-09-02 18:00:00,-0.4284197115022635,-0.4398550095954505,0.1444454311456083,0.6251559540756273,1.6522185033311378,121.0,18,-0.979084087682323,0.2034560130526333,,
2026-09-02 19:00:00,0.156219894801558,0.1528547608845095,0.7812705436415752,0.1359816610990775,2.584219525088396,155.0,19,-0.8878852184023756,0.4600650377311516,,
2026-09-02 20:00:00,0.6918995340750107,0.6617469880642728,1.1777047196324424,-0.2524802774411236,2.4043348293996853,164.0,20,-0.730835964278124,0.6825531432186542,,
2026-09-02 21:00:00,1.1267792412271145,1.077841220875962,1.4560521197962424,-0.5977797783657469,1.6607169928912344,171.0,21,-0.5195839500354336,0.8544194045464886,,
2026-09-02 22:00:00,1.5443789600155584,1.4759745515518945,1.6458344380897425,-0.871141883264407,1.0672391386111564,178.0,22,-0.2697967711570252,0.962917287347799,,
2026-09-02 23:00:00,1.7862987971067952,1.7274271814524838,1.7554864442148763,-1.0437916337267186,0.9298468907229284,182.0,23,-2.4492935982947064e-16,1.0,198.05,17.505281448364258
2026-09-03 00:00:00,1.852538752500824,1.7962773063062163,1.7850081381716425,-1.1588914673682598,0.944011039989756,184.0,0,0.0,1.0,,
2026-09-03 01:00:00,1.866938742803874,1.8172316921312657,1.7428342896619755,-1.230828863394223,0.9170991563827836,184.0,1,0.2697967711570243,0.9629172873477992,,
2026-09-03 02:00:00,1.7978187893492348,1.7603555020347037,1.6205301289839429,-1.302766259420186,0.7357980457673898,183.0,2,0.5195839500354336,0.8544194045464886,,
2026-09-03 03:00:00,1.6365388979550772,1.616668284948653,1.4265304258394755,-1.3603161762409566,0.5134209022781959,180.0,3,0.730835964278124,0.6825531432186541,,
2026-09-03 04:00:00,1.4579790181972596,1.4340657799017966,1.2325307226950089,-1.3171537386253789,0.3887763887301128,177.0,4,0.8878852184023752,0.4600650377311522,,
2026-09-03 05:00:00,1.2160591811060228,1.1915936010690855,1.0849222529111755,-1.2020539049838377,0.5176701470582442,173.0,5,0.9790840876823228,0.2034560130526337,,
2026-09-03 06:00:00,1.0288593071663756,0.9880367101971802,0.937313783127342,-1.0006291961111409,0.7471293651808519,170.0,6,0.9976687691905392,-0.0682424133646708,,
2026-09-03 07:00:00,0.8877394021964878,0.8473429768004219,0.6800533072183752,-0.6265547367761322,0.752795024887583,167.0,7,0.9422609221188204,-0.3348796121709861,,
2026-09-03 08:00:00,0.1216599180742384,0.0899916034093622,0.2077062039101083,0.0928192234834996,0.2981258334224159,154.0,8,0.8169698930104421,-0.5766803221148671,,
2026-09-03 09:00:00,-0.1605798918655374,-0.1794219286269832,-0.3658581358213588,0.9848429342054432,-0.378920501531945,143.0,9,0.631087944326053,-0.7757112907044197,,
2026-09-03 10:00:00,-0.5407396358660519,-0.5116986181384758,-0.8255530845767258,1.6610544568494972,-0.8888298751377398,116.0,10,0.3984010898462414,-0.917211301505453,,
2026-09-03 11:00:00,-0.7135395195026495,-0.673346737360283,-1.0743787907837592,1.905641603337772,-1.054550421559623,102.0,11,0.1361666490962471,-0.9906859460363306,,
2026-09-03 12:00:00,-0.814339451623998,-0.7751251827962358,-1.205117721163726,1.905641603337772,-1.0531340066329404,94.0,12,-0.1361666490962464,-0.9906859460363308,,
2026-09-03 13:00:00,-0.9064993895635168,-0.8739101445428957,-1.2768132636301597,1.8912541241325795,-1.019140048392554,87.0,13,-0.3984010898462415,-0.9172113015054528,,
2026-09-03 14:00:00,-0.9410593662908362,-0.9098319488144084,-1.3695957303514263,1.9488040409533496,-1.0772130603865473,85.0,14,-0.6310879443260528,-0.7757112907044198,,
2026-09-03 15:00:00,-0.9410593662908362,-0.9128254325037012,-1.4033348091591595,1.991966478568928,-1.10412494399352,84.0,15,-0.816969893010442,-0.5766803221148672,,
